tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
66,imitate,46.807,0.016182,-10.136,0.018294,0.600000,0.000000,0.213086,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.032813,0.310156,0.097070,-0.017773,0.833594,6,40.000,48.819,240.000,240.000,100.000,0.000000,1.158181,-0.011413,2.500
67,imitate,46.545,-0.027623,-10.484,0.019019,0.600000,0.000000,0.219688,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.053125,0.309375,0.089688,-0.095703,0.809115,6,40.000,46.859,240.000,240.000,225.000,0.000000,0.055740,-0.102378,2.500
68,imitate,48.618,-0.042955,0.899,-0.002869,0.000000,0.000000,0.219688,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.053125,0.309375,0.089688,-0.095703,0.809115,6,40.000,46.859,240.000,240.000,225.000,0.000000,0.888361,-0.102378,2.500
69,imitate,48.273,-0.048321,8.936,-0.017683,0.000000,0.000000,0.219688,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.053125,0.309375,0.089688,-0.095703,0.809115,6,40.000,46.859,240.000,240.000,225.000,0.000000,2.259165,-0.102378,2.500
70,imitate,47.326,-0.016912,16.803,-0.031929,0.600000,0.000000,0.189922,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.030469,0.275781,0.085859,-0.038281,0.698438,6,40.000,48.623,240.000,240.000,95.000,0.000000,2.237638,-0.055276,2.500
71,imitate,47.446,0.000000,10.734,-0.019529,0.325756,0.000000,0.189922,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.030469,0.275781,0.085859,-0.038281,0.698438,6,40.000,48.623,240.000,240.000,95.000,0.000000,0.921843,-0.055276,2.500
72,imitate,48.493,0.000000,0.698,-0.001132,0.000000,0.000000,0.189922,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.030469,0.275781,0.085859,-0.038281,0.698438,6,40.000,48.623,240.000,240.000,95.000,0.000000,1.157023,-0.055276,2.500
73,imitate,48.054,0.000000,-0.625,0.001373,0.000000,0.000000,0.183359,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.042188,0.259375,0.076016,-0.068359,0.701823,6,40.000,48.054,240.000,240.000,91.000,0.000000,2.462406,-0.026371,2.500
74,imitate,47.809,0.000000,-1.437,0.002747,0.444959,0.000000,0.183359,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.042188,0.259375,0.076016,-0.068359,0.701823,6,40.000,48.054,240.000,240.000,91.000,0.000000,0.042778,-0.026371,2.500
75,imitate,47.541,-0.006733,-1.730,0.003210,0.497461,0.000000,0.202383,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.071875,0.272656,0.070273,-0.047852,0.686719,6,40.000,48.449,240.000,240.000,90.000,0.000000,2.783681,-0.065506,2.500
